  4;1   ;BG  ;Vetschau, Bundesgrenze                            ;2   ;AS  ;Aachen-Laurensberg                                ; 4,2;11
  4;2   ;AS  ;Aachen-Laurensberg                                ;3   ;AS  ;Aachen-Zentrum                                    ; 2,5;11
  4;3   ;AS  ;Aachen-Zentrum                                    ;4   ;AK  ;Aachen, Kreuz                                     ; 4,3;11
  4;4   ;AK  ;Aachen, Kreuz                                     ;5   ;AS  ;Eschweiler                                        ; 6,0;11
  4;5   ;AS  ;Eschweiler                                        ;6   ;AS  ;Weisweiler                                        ; 5,7;11
  4;6   ;AS  ;Weisweiler                                        ;7   ;AS  ;Düren                                             ; 9,1;11
  4;7   ;AS  ;Düren                                             ;8   ;AS  ;Buir                                              ; 9,7;11
  4;8   ;AS  ;Buir                                              ;9   ;AS  ;Kerpen                                            ; 8,8;11
  4;9   ;AS  ;Kerpen                                            ;9   ;AK  ;Kerpen, Kreuz                                     ; 0,6;11
  4;9   ;AK  ;Kerpen, Kreuz                                     ;10  ;AK  ;Köln-West, Kreuz                                  ;12,0;11
  4;10  ;AK  ;Köln-West, Kreuz                                  ;11  ;AS  ;Köln-Klettenberg                                  ; 5,5;11
  4;11  ;AS  ;Köln-Klettenberg                                  ;-   ;AS  ;Containerbahnhof Köln-Eifeltor                    ; 1,4;11
  4;-   ;AS  ;Containerbahnhof Köln-Eifeltor                    ;12  ;AK  ;Köln-Süd, Kreuz                                   ; 3,3;11
  4;12  ;AK  ;Köln-Süd, Kreuz                                   ;13  ;AS  ;Köln-Poll                                         ; 3,7;11
  4;13  ;AS  ;Köln-Poll                                         ;14  ;AK  ;Gremberg, Kreuz                                   ; 1,9;11
  4;14  ;AK  ;Gremberg, Kreuz                                   ;15  ;AD  ;Heumar, Dreieck                                   ; 2,2;11
  4;28  ;AD  ;Heumar, Dreieck                                   ;27  ;AK  ;Köln-Ost, Kreuz                                   ; 3,6;11
  4;16  ;AK  ;Köln-Ost, Kreuz                                   ;17  ;AS  ;Köln-Merheim                                      ; 1,5;11
  4;17  ;AS  ;Köln-Merheim                                      ;18  ;AS  ;Refrath                                           ; 3,0;11
  4;18  ;AS  ;Refrath                                           ;19  ;AS  ;Bensberg                                          ; 2,3;11
  4;19  ;AS  ;Bensberg                                          ;20  ;AS  ;Moitzfeld                                         ; 3,5;11
  4;20  ;AS  ;Moitzfeld                                         ;21  ;AS  ;Untereschbach                                     ; 3,0;11
  4;21  ;AS  ;Untereschbach                                     ;22  ;AS  ;Overath                                           ; 6,7;11
  4;22  ;AS  ;Overath                                           ;23  ;AS  ;Engelskirchen                                     ;11,0;11
  4;23  ;AS  ;Engelskirchen                                     ;24  ;AS  ;Bielstein                                         ; 2,5;11
  4;24  ;AS  ;Bielstein                                         ;25  ;AS  ;Gummersbach                                       ; 4,5;11
  4;25  ;AS  ;Gummersbach                                       ;26  ;AS  ;Reichshof/Bergneustadt                            ; 8,6;11
  4;26  ;AS  ;Reichshof/Bergneustadt                            ;27  ;AS  ;Eckenhagen                                        ; 6,2;11
  4;27  ;AS  ;Eckenhagen                                        ;26  ;AS  ;Reichshof/Bergneustadt                            ; 5,5;rr
  4;27  ;AS  ;Eckenhagen                                        ;28  ;AK  ;Olpe-Süd, Kreuz                                   ; 8,8;11
  4;28  ;AK  ;Olpe-Süd, Kreuz                                   ;27  ;AS  ;Eckenhagen                                        ; 9,5;rr
  4;28  ;AK  ;Olpe-Süd, Kreuz                                   ;28  ;AS  ;Wenden                                            ; 0,5;11
