BAB;K_NR1;K_TYP1;VON;K_NR2;K_TYP2;NACH;KM;STATUS
  1;-   ;AN  ;Oldenburg i.H. Nord (Übergang A 1/B 207)          ;9   ;AS  ;Oldenburg i.H.-Nord                               ; 1,1;11
  1;9   ;AS  ;Oldenburg i.H.-Nord                               ;10  ;AS  ;Oldenburg i.H.-Mitte                              ; 1,3;11
  1;10  ;AS  ;Oldenburg i.H.-Mitte                              ;11  ;AS  ;Oldenburg i.H.-Süd                                ; 1,0;11
  1;11  ;AS  ;Oldenburg i.H.-Süd                                ;12  ;AS  ;Lensahn                                           ; 8,2;11
  1;12  ;AS  ;Lensahn                                           ;13  ;AS  ;Neustadt i.H.-Pelzerhaken                         ;11,5;11
  1;13  ;AS  ;Neustadt i.H.-Pelzerhaken                         ;14  ;AS  ;Neustadt i.H.-Mitte                               ; 5,5;11
  1;14  ;AS  ;Neustadt i.H.-Mitte                               ;15  ;AS  ;Eutin                                             ; 5,6;11
  1;15  ;AS  ;Eutin                                             ;16  ;AS  ;Scharbeutz                                        ; 2,0;11
  1;16  ;AS  ;Scharbeutz                                        ;17  ;AS  ;Pansdorf                                          ; 3,2;11
  1;17  ;AS  ;Pansdorf                                          ;18  ;AS  ;Ratekau                                           ; 6,6;11
  1;18  ;AS  ;Ratekau                                           ;19  ;AS  ;Sereetz                                           ; 3,8;11
  1;19  ;AS  ;Sereetz                                           ;20  ;AD  ;Bad Schwartau, Dreieck                            ; 0,4;11
  1;20  ;AD  ;Bad Schwartau, Dreieck                            ;21  ;AS  ;Bad Schwartau                                     ; 2,4;11
  1;21  ;AS  ;Bad Schwartau                                     ;22  ;AS  ;Lübeck-Zentrum                                    ; 3,3;11
  1;22  ;AS  ;Lübeck-Zentrum                                    ;23  ;AS  ;Lübeck-Moisling                                   ; 3,3;11
  1;23  ;AS  ;Lübeck-Moisling                                   ;24  ;AK  ;Lübeck, Kreuz                                     ; 2,4;11
  1;24  ;AK  ;Lübeck, Kreuz                                     ;25  ;AS  ;Reinfeld                                          ; 6,8;11
  1;25  ;AS  ;Reinfeld                                          ;26  ;AS  ;Bad Oldesloe                                      ; 7,3;11
  1;26  ;AS  ;Bad Oldesloe                                      ;27  ;AS  ;Bargteheide                                       ; 9,2;11
  1;27  ;AS  ;Bargteheide                                       ;-   ;AK  ;Bargteheide, Kreuz                                ; 0,3;11
  1;-   ;AK  ;Bargteheide, Kreuz                                ;28  ;AS  ;Ahrensburg                                        ; 9,2;11
  1;28  ;AS  ;Ahrensburg                                        ;29  ;AS  ;Stapelfeld                                        ; 4,2;11
  1;29  ;AS  ;Stapelfeld                                        ;31  ;AK  ;Hamburg-Ost, Kreuz                                ; 8,3;11
  1;31  ;AK  ;Hamburg-Ost, Kreuz                                ;32  ;AS  ;Hamburg-Öjendorf                                  ; 2,2;11
  1;32  ;AS  ;Hamburg-Öjendorf                                  ;33  ;AS  ;Hamburg-Billstedt                                 ; 2,1;11
  1;33  ;AS  ;Hamburg-Billstedt                                 ;34  ;AS  ;Hamburg-Moorfleet                                 ; 3,6;11
  1;34  ;AS  ;Hamburg-Moorfleet                                 ;35  ;AD  ;Hamburg-Südost, Dreieck                           ; 0,7;11
  1;35  ;AD  ;Hamburg-Südost, Dreieck                           ;36  ;AK  ;Hamburg-Süd, Kreuz                                ; 3,0;11
  1;36  ;AK  ;Hamburg-Süd, Kreuz                                ;37  ;AS  ;Hamburg-Stillhorn                                 ; 3,5;11
  1;37  ;AS  ;Hamburg-Stillhorn                                 ;38  ;AS  ;Hamburg-Harburg                                   ; 1,9;11
  1;38  ;AS  ;Hamburg-Harburg                                   ;39  ;AK  ;Maschener Kreuz                                   ; 8,1;11
  1;39  ;AK  ;Maschener Kreuz                                   ;40  ;AD  ;Horster Dreieck                                   ; 1,2;11
  1;40  ;AD  ;Horster Dreieck                                   ;40  ;AD  ;Horster Dreieck                                   ; 0,7;11
  1;40  ;AD  ;Horster Dreieck                                   ;41  ;AS  ;Hittfeld                                          ; 1,6;11
  1;41  ;AS  ;Hittfeld                                          ;42  ;AS  ;Dibbersen                                         ; 6,6;11
  1;42  ;AS  ;Dibbersen                                         ;43  ;AD  ;Buchholzer Dreieck                                ; 1,9;11
  1;43  ;AD  ;Buchholzer Dreieck                                ;44  ;AS  ;Rade                                              ; 3,3;11
  1;44  ;AS  ;Rade                                              ;45  ;AS  ;Hollenstedt                                       ; 6,5;11
  1;45  ;AS  ;Hollenstedt                                       ;46  ;AS  ;Heidenau (A1)                                     ; 5,5;11
  1;46  ;AS  ;Heidenau (A1)                                     ;-   ;-   ;TR Ostetal (Wendemöglichkeit)                     ; 8,1;11
  1;-   ;-   ;TR Ostetal (Wendemöglichkeit)                     ;47  ;AS  ;Sittensen                                         ; 1,9;11
  1;47  ;AS  ;Sittensen                                         ;49  ;AS  ;Bockel                                            ;18,8;11
  1;49  ;AS  ;Bockel                                            ;50  ;AS  ;Stuckenborstel                                    ;11,3;11
  1;50  ;AS  ;Stuckenborstel                                    ;-   ;-   ;TR Grundbergsee (Wendemöglichkeit)                ; 2,6;11
  1;-   ;-   ;TR Grundbergsee (Wendemöglichkeit)                ;51  ;AS  ;Posthausen                                        ; 1,7;11
  1;51  ;AS  ;Posthausen                                        ;52  ;AS  ;Oyten                                             ; 9,2;11
  1;52  ;AS  ;Oyten                                             ;53  ;AK  ;Bremer Kreuz                                      ; 3,4;11
  1;53  ;AK  ;Bremer Kreuz                                      ;54  ;AS  ;Uphusen/Bremen-Mahndorf                           ; 1,8;11
  1;54  ;AS  ;Uphusen/Bremen-Mahndorf                           ;55  ;AS  ;Bremen-Hemelingen                                 ; 5,5;11
  1;55  ;AS  ;Bremen-Hemelingen                                 ;56  ;AS  ;Bremen-Arsten                                     ; 2,2;11
  1;56  ;AS  ;Bremen-Arsten                                     ;57  ;AS  ;Bremen/Brinkum                                    ; 3,9;11
  1;57  ;AS  ;Bremen/Brinkum                                    ;58  ;AS  ;Delmenhorst-Ost                                   ; 6,9;11
  1;58  ;AS  ;Delmenhorst-Ost                                   ;59  ;AS  ;Groß Ippener                                      ; 7,0;11
  1;59  ;AS  ;Groß Ippener                                      ;60  ;AS  ;Wildeshausen-Nord                                 ;13,0;11
  1;60  ;AS  ;Wildeshausen-Nord                                 ;61  ;AS  ;Wildeshausen-West                                 ; 8,3;11
  1;61  ;AS  ;Wildeshausen-West                                 ;62  ;AS  ;Ahlhorner Heide                                   ; 8,9;11
  1;62  ;AS  ;Ahlhorner Heide                                   ;62  ;AD  ;Ahlhorner Heide, Dreieck                          ; 0,5;11
  1;62  ;AD  ;Ahlhorner Heide, Dreieck                          ;63  ;AS  ;Cloppenburg                                       ; 4,4;11
  1;63  ;AS  ;Cloppenburg                                       ;64  ;AS  ;Vechta                                            ;10,1;11
  1;64  ;AS  ;Vechta                                            ;65  ;AS  ;Lohne/Dinklage                                    ; 7,7;11
  1;65  ;AS  ;Lohne/Dinklage                                    ;66  ;AS  ;Holdorf                                           ; 7,5;11
  1;66  ;AS  ;Holdorf                                           ;67  ;AS  ;Neuenkirchen/Vörden                               ;12,1;11
  1;67  ;AS  ;Neuenkirchen/Vörden                               ;68  ;AS  ;Bramsche                                          ;11,8;11
  1;68  ;AS  ;Bramsche                                          ;70  ;AS  ;Osnabrück-Nord                                    ; 6,4;11
  1;70  ;AS  ;Osnabrück-Nord                                    ;71  ;AS  ;Osnabrück-Hafen                                   ; 6,9;11
  1;71  ;AS  ;Osnabrück-Hafen                                   ;72  ;AK  ;Lotte/Osnabrück, Kreuz                            ; 4,2;11
  1;72  ;AK  ;Lotte/Osnabrück, Kreuz                            ;73  ;AS  ;Lengerich                                         ;11,2;11
  1;73  ;AS  ;Lengerich                                         ;74  ;AS  ;Ladbergen                                         ; 8,4;11
  1;74  ;AS  ;Ladbergen                                         ;76  ;AS  ;Greven                                            ; 9,3;11
  1;76  ;AS  ;Greven                                            ;77  ;AS  ;Münster-Nord                                      ;12,1;11
  1;77  ;AS  ;Münster-Nord                                      ;78  ;AK  ;Münster-Süd, Kreuz                                ; 8,5;11
  1;78  ;AK  ;Münster-Süd, Kreuz                                ;79  ;AS  ;Ascheberg                                         ;14,6;11
  1;79  ;AS  ;Ascheberg                                         ;80  ;AS  ;Hamm-Bockum/Werne                                 ;11,4;11
  1;80  ;AS  ;Hamm-Bockum/Werne                                 ;81  ;AS  ;Hamm/Bergkamen                                    ; 4,9;11
  1;81  ;AS  ;Hamm/Bergkamen                                    ;82  ;AK  ;Kamener Kreuz                                     ; 5,8;11
  1;82  ;AK  ;Kamener Kreuz                                     ;83  ;AS  ;Kamen-Zentrum                                     ; 3,1;11
  1;83  ;AS  ;Kamen-Zentrum                                     ;84  ;AS  ;Unna-Zentrum                                      ; 5,5;11
  1;84  ;AS  ;Unna-Zentrum                                      ;84  ;AK  ;Dortmund/Unna, Kreuz                              ; 0,5;11
  1;84  ;AK  ;Dortmund/Unna, Kreuz                              ;85  ;AS  ;Schwerte                                          ;10,4;11
  1;85  ;AS  ;Schwerte                                          ;86  ;AK  ;Westhofener Kreuz                                 ; 3,6;11
  1;86  ;AK  ;Westhofener Kreuz                                 ;87  ;AS  ;Hagen-Nord                                        ; 5,3;11
  1;87  ;AS  ;Hagen-Nord                                        ;88  ;AS  ;Hagen-West                                        ; 3,4;11
  1;88  ;AS  ;Hagen-West                                        ;89  ;AS  ;Volmarstein                                       ; 4,8;11
  1;89  ;AS  ;Volmarstein                                       ;90  ;AS  ;Gevelsberg                                        ; 3,6;11
  1;90  ;AS  ;Gevelsberg                                        ;92  ;AK  ;Wuppertal-Nord, Kreuz (A1/B326)                   ; 6,1;11
  1;92  ;AK  ;Wuppertal-Nord, Kreuz (A1/B326)                   ;93  ;AS  ;Wuppertal-Langerfeld                              ; 3,6;11
  1;93  ;AS  ;Wuppertal-Langerfeld                              ;94  ;AS  ;Wuppertal-Ronsdorf                                ; 7,4;11
  1;94  ;AS  ;Wuppertal-Ronsdorf                                ;95  ;AS  ;Remscheid                                         ; 6,0;11
  1;95  ;AS  ;Remscheid                                         ;-   ;-   ;TR Remscheid (Überfahrt)                          ; 2,5;11
  1;-   ;-   ;TR Remscheid (Überfahrt)                          ;96  ;AS  ;Wermelskirchen                                    ; 3,7;11
  1;96  ;AS  ;Wermelskirchen                                    ;97  ;AS  ;Burscheid                                         ; 7,8;11
  1;97  ;AS  ;Burscheid                                         ;98  ;AK  ;Leverkusen, Kreuz                                 ;10,1;11
  1;98  ;AK  ;Leverkusen, Kreuz                                 ;99  ;AK  ;Leverkusen-West, Kreuz                            ; 3,2;11
  1;99  ;AK  ;Leverkusen-West, Kreuz                            ;100 ;AS  ;Köln-Niehl                                        ; 2,0;11
  1;100 ;AS  ;Köln-Niehl                                        ;101 ;AK  ;Köln-Nord, Kreuz                                  ; 4,8;11
  1;101 ;AK  ;Köln-Nord, Kreuz                                  ;102 ;AS  ;Köln-Bocklemünd                                   ; 3,6;11
  1;102 ;AS  ;Köln-Bocklemünd                                   ;103 ;AS  ;Köln-Lövenich                                     ; 4,5;11
  1;103 ;AS  ;Köln-Lövenich                                     ;104 ;AK  ;Köln-West, Kreuz                                  ; 1,4;11
  1;104 ;AK  ;Köln-West, Kreuz                                  ;104 ;AS  ;Frechen                                           ; 1,0;11
  1;104 ;AS  ;Frechen                                           ;105 ;AS  ;Gleuel                                            ; 4,3;11
  1;105 ;AS  ;Gleuel                                            ;106 ;AS  ;Hürth                                             ; 4,9;11
  1;106 ;AS  ;Hürth                                             ;107 ;AD  ;Erfttal, Dreieck                                  ; 3,8;11
